DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-09-10 15:12:06.269,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10950404,0.3198,-0.8564,0.3519,-0.2011,0.5745,-0.3252,0.7373,0
10950570,0.3160,-0.8550,0.3499,-0.2163,0.0072,-0.7946,0.0423,0
10950737,0.3104,-0.8543,0.3480,-0.2296,0.3793,-1.4312,0.0059,0
10950904,0.3050,-0.8535,0.3461,-0.2423,0.9393,-0.4341,0.8565,0
10951070,0.3018,-0.8517,0.3433,-0.2563,0.7591,-0.0265,0.6407,0
10951237,0.2998,-0.8493,0.3395,-0.2713,0.5062,-0.1599,0.2469,0
10951404,0.2970,-0.8469,0.3356,-0.2861,0.1987,-0.7725,-0.3716,0
10951570,0.2924,-0.8451,0.3324,-0.2998,0.4139,-1.2812,-0.3205,0
10951737,0.2866,-0.8433,0.3300,-0.3127,0.8018,-0.8873,0.2609,0
10951904,0.2813,-0.8409,0.3277,-0.3262,0.9521,-0.3531,0.5732,0
10952070,0.2769,-0.8378,0.3249,-0.3404,0.5387,-0.3004,0.4424,0
10952237,0.2720,-0.8348,0.3222,-0.3541,0.3216,-0.9194,-0.1022,0
10952404,0.2659,-0.8322,0.3203,-0.3664,0.3287,-1.0083,0.1453,0
10952570,0.2596,-0.8298,0.3186,-0.3776,0.4796,-0.5579,0.5359,0
10952737,0.2543,-0.8272,0.3161,-0.3889,0.4888,-0.0770,0.8825,0
10952904,0.2501,-0.8241,0.3127,-0.4007,0.5074,-0.0577,0.6140,0
10953071,0.2459,-0.8208,0.3091,-0.4127,0.2585,-0.7034,0.0780,0
10953237,0.2403,-0.8178,0.3063,-0.4239,0.3493,-1.1864,-0.2127,0
10953404,0.2333,-0.8151,0.3047,-0.4340,0.6285,-0.9981,0.1344,0
10953571,0.2262,-0.8121,0.3034,-0.4442,0.5982,-0.3386,0.6657,0
10953737,0.2201,-0.8086,0.3014,-0.4549,0.6816,-0.1878,0.5906,0
10953904,0.2143,-0.8047,0.2988,-0.4661,0.4909,-0.5965,0.3109,0
10954071,0.2079,-0.8009,0.2964,-0.4770,0.4006,-0.8910,0.1728,0
10954237,0.2007,-0.7972,0.2944,-0.4874,0.5111,-1.0380,0.2598,0
10954404,0.1932,-0.7935,0.2928,-0.4973,0.5847,-0.9314,0.3810,0
10954571,0.1861,-0.7896,0.2907,-0.5073,0.8404,-0.6604,0.5754,0
10954737,0.1803,-0.7853,0.2874,-0.5179,0.6186,-0.2257,0.7857,0
10954904,0.1753,-0.7807,0.2831,-0.5288,0.4943,-0.6246,0.3167,0
