tracker_1_WXYZ,tracker_2_WXYZ
"0.4750,0.3168,-0.3017,0.7636","0.2318,-0.8210,0.0023,0.5217"
"0.4752,0.3240,-0.3074,0.7581","0.2276,-0.8200,-0.0001,0.5251"
"0.4766,0.3237,-0.3128,0.7551","0.2233,-0.8188,-0.0034,0.5288"
"0.4765,0.3193,-0.3099,0.7582","0.2219,-0.8133,-0.0052,0.5378"
"0.4775,0.3104,-0.3072,0.7625","0.2202,-0.8093,-0.0068,0.5445"
"0.4785,0.3044,-0.3062,0.7646","0.2145,-0.8015,-0.0118,0.5580"
"0.4806,0.2906,-0.3015,0.7705","0.2091,-0.7940,-0.0161,0.5706"
"0.4840,0.2740,-0.2945,0.7771","0.2043,-0.7854,-0.0187,0.5840"
"0.4971,0.2262,-0.2840,0.7881","0.1911,-0.7742,-0.0272,0.6028"
"0.5005,0.2125,-0.2798,0.7912","0.1855,-0.7672,-0.0286,0.6134"
"0.5065,0.1824,-0.2717,0.7977","0.1806,-0.7610,-0.0300,0.6224"
"0.5190,0.1098,-0.2595,0.8070","0.1733,-0.7555,-0.0343,0.6309"
"0.5227,0.0718,-0.2450,0.8134","0.1675,-0.7509,-0.0367,0.6378"
"0.5247,0.0514,-0.2426,0.8143","0.1660,-0.7486,-0.0369,0.6408"
"0.5282,0.0103,-0.2377,0.8151","0.1615,-0.7452,-0.0390,0.6458"
"0.5293,-0.0287,-0.2273,0.8169","0.1596,-0.7425,-0.0392,0.6494"
"0.5296,-0.0705,-0.2311,0.8131","0.1601,-0.7391,-0.0380,0.6532"
"0.5294,-0.1117,-0.2296,0.8091","0.1590,-0.7379,-0.0385,0.6547"
"0.5292,-0.1302,-0.2222,0.8085","0.1549,-0.7364,-0.0409,0.6573"
"0.5281,-0.1676,-0.2141,0.8045","0.1502,-0.7334,-0.0390,0.6618"
"0.5258,-0.2057,-0.2097,0.7983","0.1473,-0.7319,-0.0388,0.6642"
"0.5241,-0.2412,-0.1986,0.7923","0.1461,-0.7298,-0.0379,0.6668"
"0.5213,-0.2775,-0.1894,0.7844","0.1452,-0.7289,-0.0380,0.6680"
"0.5197,-0.2964,-0.1861,0.7794","0.1433,-0.7281,-0.0386,0.6692"
"0.5165,-0.3315,-0.1751,0.7699","0.1353,-0.7271,-0.0420,0.6717"
"0.5114,-0.3645,-0.1667,0.7602","0.1310,-0.7267,-0.0440,0.6729"
"0.5015,-0.3986,-0.1665,0.7496","0.1287,-0.7259,-0.0453,0.6741"
"0.4906,-0.4315,-0.1639,0.7391","0.1274,-0.7256,-0.0459,0.6747"
